flow_duration,total_fwd_packets,total_backward_packets,total_length_of_fwd_packets,total_length_of_bwd_packets,fwd_packet_length_max,fwd_packet_length_min,fwd_packet_length_mean,bwd_packet_length_max,bwd_packet_length_mean,bwd_packet_length_std,flow_bytes_s,flow_packets_s,flow_iat_mean,flow_iat_std,flow_iat_max,flow_iat_min,fwd_iat_total,fwd_iat_mean,bwd_iat_total,bwd_iat_mean,fwd_psh_flags,bwd_packets_s,min_packet_length,max_packet_length,packet_length_mean,packet_length_std,packet_length_variance,average_packet_size
9954,3,1,18,0,6,6,6.0,0,0.0,0.0,1808.318264,401.8485031,3318.0,5741.748775,9948,1,9954,4977.0,0,0.0,0,100.4621258,0,6,4.8,2.683281573,7.2,6.0
118045422,21,20,1299,6586,597,0,61.85714286,1460,329.3,577.6604448,66.79632184,0.347323931,2951135.55,4485318.25,10000000,3,118000000,5902271.1,112000000,5914205.158,0,0.169426308,0,1460,187.7380952,429.1191806,184143.2712,192.3170732
54125933,4,4,168,998,44,40,42.0,331,249.5,94.10809388,21.54235383,0.147803457,7732276.143,20300000.0,53900000,3,54100000,18000000.0,53900000,18000000.0,0,0.073901728,40,331,134.0,123.8133676,15329.75,150.75
24368,1,1,94,175,94,94,94.0,175,175.0,0.0,11039.06763,82.07485227,24368.0,0.0,24368,24368,0,0.0,0,0.0,0,41.03742613,94,175,121.0,46.7653718,2187.0,181.5
47968,2,2,120,284,60,60,60.0,142,142.0,0.0,8422.281521,83.38892595,15989.33333,27651.91245,47919,1,1,1.0,48,48.0,0,41.69446298,60,142,92.8,44.91324972,2017.2,116.0
100296687,6,7,348,11595,330,0,58.0,7240,1656.428571,2566.885263,119.0767149,0.129615448,8358057.25,28900000.0,100000000,1,100000000,20000000.0,100000000,16700000.0,0,0.069792933,0,7240,853.5,1934.509707,3742327.808,919.1538462
117458782,13,12,631,4277,209,0,48.53846154,1430,356.4166667,560.529694,41.78487054,0.21284062,4894115.917,16400000.0,58800000,2,117000000,9788231.833,117000000,10700000.0,0,0.102163498,0,1430,188.7692308,406.8825194,165553.3846,196.32
75940,2,2,66,234,33,33,33.0,117,117.0,0.0,3950.487226758,52.6731630234,25313.3333333333,43840.51535205,75936,1,1,1.0,3,3.0,0,26.3365815117,33,117,66.6,46.0086948304,2116.8,83.25
86020027,6,7,349,11595,337,0,58.16666667,5792,1656.428571,2429.118623,138.8513863,0.151127597,7168335.583,24500000.0,85000000,2,86000000,17200000.0,86000000,14300000.0,0,0.081376399,0,5792,853.5714286,1850.6442,3424883.956,919.2307692
5574005,3,1,12,0,6,0,4.0,0,0.0,0.0,2.152850598,0.717616866,1858001.667,3181877.266,5532038,110,5574005,2787002.5,0,0.0,0,0.179404217,0,6,2.4,3.286335345,10.8,3.0
